,type,lung,mask
115,train,dataset\dataset\lungs\0115.png,dataset\dataset\masks\0115.png
116,train,dataset\dataset\lungs\0116.png,dataset\dataset\masks\0116.png
117,train,dataset\dataset\lungs\0117.png,dataset\dataset\masks\0117.png
118,train,dataset\dataset\lungs\0118.png,dataset\dataset\masks\0118.png
119,train,dataset\dataset\lungs\0119.png,dataset\dataset\masks\0119.png
121,train,dataset\lungs\0060.png,dataset\masks\0060.png
122,train,dataset\dataset\lungs\0122.png,dataset\dataset\masks\0122.png
123,train,dataset\dataset\lungs\0123.png,dataset\dataset\masks\0123.png
124,train,dataset\dataset\lungs\0124.png,dataset\dataset\masks\0124.png
125,train,dataset\dataset\lungs\0125.png,dataset\dataset\masks\0125.png
126,train,dataset\dataset\lungs\0126.png,dataset\dataset\masks\0126.png
127,train,dataset\dataset\lungs\0127.png,dataset\dataset\masks\0127.png
128,train,dataset\dataset\lungs\0128.png,dataset\dataset\masks\0128.png
129,train,dataset\dataset\lungs\0129.png,dataset\dataset\masks\0129.png
130,train,dataset\dataset\lungs\0130.png,dataset\dataset\masks\0130.png
132,train,dataset\lungs\0013.png,dataset\masks\0013.png
133,train,dataset\dataset\lungs\0133.png,dataset\dataset\masks\0133.png
134,train,dataset\dataset\lungs\0134.png,dataset\dataset\masks\0134.png
135,train,dataset\dataset\lungs\0135.png,dataset\dataset\masks\0135.png
136,train,dataset\dataset\lungs\0136.png,dataset\dataset\masks\0136.png
137,train,dataset\dataset\lungs\0137.png,dataset\dataset\masks\0137.png
138,train,dataset\dataset\lungs\0138.png,dataset\dataset\masks\0138.png
139,train,dataset\dataset\lungs\0139.png,dataset\dataset\masks\0139.png
140,train,dataset\dataset\lungs\0140.png,dataset\dataset\masks\0140.png
141,train,dataset\dataset\lungs\0141.png,dataset\dataset\masks\0141.png
143,train,dataset\lungs\0493.png,dataset\masks\0493.png
144,train,dataset\dataset\lungs\0144.png,dataset\dataset\masks\0144.png
145,train,dataset\dataset\lungs\0145.png,dataset\dataset\masks\0145.png
146,train,dataset\dataset\lungs\0146.png,dataset\dataset\masks\0146.png
147,train,dataset\dataset\lungs\0147.png,dataset\dataset\masks\0147.png
148,train,dataset\dataset\lungs\0148.png,dataset\dataset\masks\0148.png
149,train,dataset\dataset\lungs\0149.png,dataset\dataset\masks\0149.png
150,train,dataset\dataset\lungs\0150.png,dataset\dataset\masks\0150.png
151,train,dataset\dataset\lungs\0151.png,dataset\dataset\masks\0151.png
152,train,dataset\dataset\lungs\0152.png,dataset\dataset\masks\0152.png
154,train,dataset\lungs\0161.png,dataset\masks\0161.png
155,train,dataset\dataset\lungs\0155.png,dataset\dataset\masks\0155.png
156,train,dataset\dataset\lungs\0156.png,dataset\dataset\masks\0156.png
157,train,dataset\dataset\lungs\0157.png,dataset\dataset\masks\0157.png
158,train,dataset\dataset\lungs\0158.png,dataset\dataset\masks\0158.png
159,train,dataset\dataset\lungs\0159.png,dataset\dataset\masks\0159.png
160,train,dataset\dataset\lungs\0160.png,dataset\dataset\masks\0160.png
161,train,dataset\dataset\lungs\0161.png,dataset\dataset\masks\0161.png
162,train,dataset\dataset\lungs\0162.png,dataset\dataset\masks\0162.png
163,train,dataset\dataset\lungs\0163.png,dataset\dataset\masks\0163.png
165,train,dataset\lungs\0326.png,dataset\masks\0326.png
166,train,dataset\dataset\lungs\0166.png,dataset\dataset\masks\0166.png
167,train,dataset\dataset\lungs\0167.png,dataset\dataset\masks\0167.png
168,train,dataset\dataset\lungs\0168.png,dataset\dataset\masks\0168.png
169,train,dataset\dataset\lungs\0169.png,dataset\dataset\masks\0169.png
170,train,dataset\dataset\lungs\0170.png,dataset\dataset\masks\0170.png
171,train,dataset\dataset\lungs\0171.png,dataset\dataset\masks\0171.png
172,train,dataset\dataset\lungs\0172.png,dataset\dataset\masks\0172.png
173,train,dataset\dataset\lungs\0173.png,dataset\dataset\masks\0173.png
174,train,dataset\dataset\lungs\0174.png,dataset\dataset\masks\0174.png
176,train,dataset\lungs\0094.png,dataset\masks\0094.png
177,train,dataset\dataset\lungs\0177.png,dataset\dataset\masks\0177.png
178,train,dataset\dataset\lungs\0178.png,dataset\dataset\masks\0178.png
179,train,dataset\dataset\lungs\0179.png,dataset\dataset\masks\0179.png
180,train,dataset\dataset\lungs\0180.png,dataset\dataset\masks\0180.png
181,train,dataset\dataset\lungs\0181.png,dataset\dataset\masks\0181.png
182,train,dataset\dataset\lungs\0182.png,dataset\dataset\masks\0182.png
183,train,dataset\dataset\lungs\0183.png,dataset\dataset\masks\0183.png
184,train,dataset\dataset\lungs\0184.png,dataset\dataset\masks\0184.png
185,train,dataset\dataset\lungs\0185.png,dataset\dataset\masks\0185.png
187,train,dataset\lungs\0515.png,dataset\masks\0515.png
188,train,dataset\dataset\lungs\0188.png,dataset\dataset\masks\0188.png
189,train,dataset\dataset\lungs\0189.png,dataset\dataset\masks\0189.png
190,train,dataset\dataset\lungs\0190.png,dataset\dataset\masks\0190.png
191,train,dataset\dataset\lungs\0191.png,dataset\dataset\masks\0191.png
192,train,dataset\dataset\lungs\0192.png,dataset\dataset\masks\0192.png
193,train,dataset\dataset\lungs\0193.png,dataset\dataset\masks\0193.png
194,train,dataset\dataset\lungs\0194.png,dataset\dataset\masks\0194.png
195,train,dataset\dataset\lungs\0195.png,dataset\dataset\masks\0195.png
196,train,dataset\dataset\lungs\0196.png,dataset\dataset\masks\0196.png
198,train,dataset\lungs\0075.png,dataset\masks\0075.png
199,train,dataset\dataset\lungs\0199.png,dataset\dataset\masks\0199.png
200,train,dataset\dataset\lungs\0200.png,dataset\dataset\masks\0200.png
201,train,dataset\dataset\lungs\0201.png,dataset\dataset\masks\0201.png
202,train,dataset\dataset\lungs\0202.png,dataset\dataset\masks\0202.png
203,train,dataset\dataset\lungs\0203.png,dataset\dataset\masks\0203.png
204,train,dataset\dataset\lungs\0204.png,dataset\dataset\masks\0204.png
205,train,dataset\dataset\lungs\0205.png,dataset\dataset\masks\0205.png
206,train,dataset\dataset\lungs\0206.png,dataset\dataset\masks\0206.png
207,train,dataset\dataset\lungs\0207.png,dataset\dataset\masks\0207.png
209,train,dataset\lungs\0148.png,dataset\masks\0148.png
210,train,dataset\dataset\lungs\0210.png,dataset\dataset\masks\0210.png
211,train,dataset\dataset\lungs\0211.png,dataset\dataset\masks\0211.png
212,train,dataset\dataset\lungs\0212.png,dataset\dataset\masks\0212.png
213,train,dataset\dataset\lungs\0213.png,dataset\dataset\masks\0213.png
214,train,dataset\dataset\lungs\0214.png,dataset\dataset\masks\0214.png
215,train,dataset\dataset\lungs\0215.png,dataset\dataset\masks\0215.png
216,train,dataset\dataset\lungs\0216.png,dataset\dataset\masks\0216.png
217,train,dataset\dataset\lungs\0217.png,dataset\dataset\masks\0217.png
218,train,dataset\dataset\lungs\0218.png,dataset\dataset\masks\0218.png
220,train,dataset\lungs\0014.png,dataset\masks\0014.png
221,train,dataset\dataset\lungs\0221.png,dataset\dataset\masks\0221.png
222,train,dataset\dataset\lungs\0222.png,dataset\dataset\masks\0222.png
223,train,dataset\dataset\lungs\0223.png,dataset\dataset\masks\0223.png
224,train,dataset\dataset\lungs\0224.png,dataset\dataset\masks\0224.png
225,train,dataset\dataset\lungs\0225.png,dataset\dataset\masks\0225.png
226,train,dataset\dataset\lungs\0226.png,dataset\dataset\masks\0226.png
227,train,dataset\dataset\lungs\0227.png,dataset\dataset\masks\0227.png
228,train,dataset\dataset\lungs\0228.png,dataset\dataset\masks\0228.png
229,train,dataset\dataset\lungs\0229.png,dataset\dataset\masks\0229.png
231,train,dataset\lungs\0471.png,dataset\masks\0471.png
232,train,dataset\dataset\lungs\0232.png,dataset\dataset\masks\0232.png
233,train,dataset\dataset\lungs\0233.png,dataset\dataset\masks\0233.png
234,train,dataset\dataset\lungs\0234.png,dataset\dataset\masks\0234.png
235,train,dataset\dataset\lungs\0235.png,dataset\dataset\masks\0235.png
236,train,dataset\dataset\lungs\0236.png,dataset\dataset\masks\0236.png
237,train,dataset\dataset\lungs\0237.png,dataset\dataset\masks\0237.png
238,train,dataset\dataset\lungs\0238.png,dataset\dataset\masks\0238.png
239,train,dataset\dataset\lungs\0239.png,dataset\dataset\masks\0239.png
240,train,dataset\dataset\lungs\0240.png,dataset\dataset\masks\0240.png
242,train,dataset\lungs\0488.png,dataset\masks\0488.png
243,train,dataset\dataset\lungs\0243.png,dataset\dataset\masks\0243.png
244,train,dataset\dataset\lungs\0244.png,dataset\dataset\masks\0244.png
245,train,dataset\dataset\lungs\0245.png,dataset\dataset\masks\0245.png
246,train,dataset\dataset\lungs\0246.png,dataset\dataset\masks\0246.png
247,train,dataset\dataset\lungs\0247.png,dataset\dataset\masks\0247.png
248,train,dataset\dataset\lungs\0248.png,dataset\dataset\masks\0248.png
249,train,dataset\dataset\lungs\0249.png,dataset\dataset\masks\0249.png
250,train,dataset\dataset\lungs\0250.png,dataset\dataset\masks\0250.png
251,train,dataset\dataset\lungs\0251.png,dataset\dataset\masks\0251.png
253,train,dataset\lungs\0439.png,dataset\masks\0439.png
254,train,dataset\dataset\lungs\0254.png,dataset\dataset\masks\0254.png
255,train,dataset\dataset\lungs\0255.png,dataset\dataset\masks\0255.png
256,train,dataset\dataset\lungs\0256.png,dataset\dataset\masks\0256.png
257,train,dataset\dataset\lungs\0257.png,dataset\dataset\masks\0257.png
258,train,dataset\dataset\lungs\0258.png,dataset\dataset\masks\0258.png
259,train,dataset\dataset\lungs\0259.png,dataset\dataset\masks\0259.png
260,train,dataset\dataset\lungs\0260.png,dataset\dataset\masks\0260.png
261,train,dataset\dataset\lungs\0261.png,dataset\dataset\masks\0261.png
262,train,dataset\dataset\lungs\0262.png,dataset\dataset\masks\0262.png
264,train,dataset\lungs\0664.png,dataset\masks\0664.png
265,train,dataset\dataset\lungs\0265.png,dataset\dataset\masks\0265.png
266,train,dataset\dataset\lungs\0266.png,dataset\dataset\masks\0266.png
267,train,dataset\dataset\lungs\0267.png,dataset\dataset\masks\0267.png
268,train,dataset\dataset\lungs\0268.png,dataset\dataset\masks\0268.png
269,train,dataset\dataset\lungs\0269.png,dataset\dataset\masks\0269.png
270,train,dataset\dataset\lungs\0270.png,dataset\dataset\masks\0270.png
271,train,dataset\dataset\lungs\0271.png,dataset\dataset\masks\0271.png
272,train,dataset\dataset\lungs\0272.png,dataset\dataset\masks\0272.png
273,train,dataset\dataset\lungs\0273.png,dataset\dataset\masks\0273.png
275,train,dataset\lungs\0005.png,dataset\masks\0005.png
276,train,dataset\dataset\lungs\0276.png,dataset\dataset\masks\0276.png
277,train,dataset\dataset\lungs\0277.png,dataset\dataset\masks\0277.png
278,train,dataset\dataset\lungs\0278.png,dataset\dataset\masks\0278.png
279,train,dataset\dataset\lungs\0279.png,dataset\dataset\masks\0279.png
280,train,dataset\dataset\lungs\0280.png,dataset\dataset\masks\0280.png
281,train,dataset\dataset\lungs\0281.png,dataset\dataset\masks\0281.png
282,train,dataset\dataset\lungs\0282.png,dataset\dataset\masks\0282.png
283,train,dataset\dataset\lungs\0283.png,dataset\dataset\masks\0283.png
284,train,dataset\dataset\lungs\0284.png,dataset\dataset\masks\0284.png
286,train,dataset\lungs\0594.png,dataset\masks\0594.png
287,train,dataset\dataset\lungs\0287.png,dataset\dataset\masks\0287.png
288,train,dataset\dataset\lungs\0288.png,dataset\dataset\masks\0288.png
289,train,dataset\dataset\lungs\0289.png,dataset\dataset\masks\0289.png
290,train,dataset\dataset\lungs\0290.png,dataset\dataset\masks\0290.png
291,train,dataset\dataset\lungs\0291.png,dataset\dataset\masks\0291.png
292,train,dataset\dataset\lungs\0292.png,dataset\dataset\masks\0292.png
293,train,dataset\dataset\lungs\0293.png,dataset\dataset\masks\0293.png
294,train,dataset\dataset\lungs\0294.png,dataset\dataset\masks\0294.png
295,train,dataset\dataset\lungs\0295.png,dataset\dataset\masks\0295.png
297,train,dataset\lungs\0043.png,dataset\masks\0043.png
298,train,dataset\dataset\lungs\0298.png,dataset\dataset\masks\0298.png
299,train,dataset\dataset\lungs\0299.png,dataset\dataset\masks\0299.png
300,train,dataset\dataset\lungs\0300.png,dataset\dataset\masks\0300.png
301,train,dataset\dataset\lungs\0301.png,dataset\dataset\masks\0301.png
302,train,dataset\dataset\lungs\0302.png,dataset\dataset\masks\0302.png
303,train,dataset\dataset\lungs\0303.png,dataset\dataset\masks\0303.png
304,train,dataset\dataset\lungs\0304.png,dataset\dataset\masks\0304.png
305,train,dataset\dataset\lungs\0305.png,dataset\dataset\masks\0305.png
306,train,dataset\dataset\lungs\0306.png,dataset\dataset\masks\0306.png
308,train,dataset\lungs\0092.png,dataset\masks\0092.png
309,train,dataset\dataset\lungs\0309.png,dataset\dataset\masks\0309.png
310,train,dataset\dataset\lungs\0310.png,dataset\dataset\masks\0310.png
311,train,dataset\dataset\lungs\0311.png,dataset\dataset\masks\0311.png
312,train,dataset\dataset\lungs\0312.png,dataset\dataset\masks\0312.png
313,train,dataset\dataset\lungs\0313.png,dataset\dataset\masks\0313.png
314,train,dataset\dataset\lungs\0314.png,dataset\dataset\masks\0314.png
315,train,dataset\dataset\lungs\0315.png,dataset\dataset\masks\0315.png
316,train,dataset\dataset\lungs\0316.png,dataset\dataset\masks\0316.png
317,train,dataset\dataset\lungs\0317.png,dataset\dataset\masks\0317.png
319,train,dataset\lungs\0566.png,dataset\masks\0566.png
320,train,dataset\dataset\lungs\0320.png,dataset\dataset\masks\0320.png
321,train,dataset\dataset\lungs\0321.png,dataset\dataset\masks\0321.png
322,train,dataset\dataset\lungs\0322.png,dataset\dataset\masks\0322.png
323,train,dataset\dataset\lungs\0323.png,dataset\dataset\masks\0323.png
324,train,dataset\dataset\lungs\0324.png,dataset\dataset\masks\0324.png
325,train,dataset\dataset\lungs\0325.png,dataset\dataset\masks\0325.png
326,train,dataset\dataset\lungs\0326.png,dataset\dataset\masks\0326.png
327,train,dataset\dataset\lungs\0327.png,dataset\dataset\masks\0327.png
328,train,dataset\dataset\lungs\0328.png,dataset\dataset\masks\0328.png
330,train,dataset\lungs\0514.png,dataset\masks\0514.png
331,train,dataset\dataset\lungs\0331.png,dataset\dataset\masks\0331.png
332,train,dataset\dataset\lungs\0332.png,dataset\dataset\masks\0332.png
333,train,dataset\dataset\lungs\0333.png,dataset\dataset\masks\0333.png
334,train,dataset\dataset\lungs\0334.png,dataset\dataset\masks\0334.png
335,train,dataset\dataset\lungs\0335.png,dataset\dataset\masks\0335.png
336,train,dataset\dataset\lungs\0336.png,dataset\dataset\masks\0336.png
337,train,dataset\dataset\lungs\0337.png,dataset\dataset\masks\0337.png
338,train,dataset\dataset\lungs\0338.png,dataset\dataset\masks\0338.png
339,train,dataset\dataset\lungs\0339.png,dataset\dataset\masks\0339.png
341,train,dataset\lungs\0162.png,dataset\masks\0162.png
342,train,dataset\dataset\lungs\0342.png,dataset\dataset\masks\0342.png
343,train,dataset\dataset\lungs\0343.png,dataset\dataset\masks\0343.png
344,train,dataset\dataset\lungs\0344.png,dataset\dataset\masks\0344.png
345,train,dataset\dataset\lungs\0345.png,dataset\dataset\masks\0345.png
346,train,dataset\dataset\lungs\0346.png,dataset\dataset\masks\0346.png
347,train,dataset\dataset\lungs\0347.png,dataset\dataset\masks\0347.png
348,train,dataset\dataset\lungs\0348.png,dataset\dataset\masks\0348.png
349,train,dataset\dataset\lungs\0349.png,dataset\dataset\masks\0349.png
350,train,dataset\dataset\lungs\0350.png,dataset\dataset\masks\0350.png
352,train,dataset\lungs\0053.png,dataset\masks\0053.png
353,train,dataset\dataset\lungs\0353.png,dataset\dataset\masks\0353.png
354,train,dataset\dataset\lungs\0354.png,dataset\dataset\masks\0354.png
355,train,dataset\dataset\lungs\0355.png,dataset\dataset\masks\0355.png
356,train,dataset\dataset\lungs\0356.png,dataset\dataset\masks\0356.png
357,train,dataset\dataset\lungs\0357.png,dataset\dataset\masks\0357.png
358,train,dataset\dataset\lungs\0358.png,dataset\dataset\masks\0358.png
359,train,dataset\dataset\lungs\0359.png,dataset\dataset\masks\0359.png
360,train,dataset\dataset\lungs\0360.png,dataset\dataset\masks\0360.png
361,train,dataset\dataset\lungs\0361.png,dataset\dataset\masks\0361.png
363,train,dataset\lungs\0552.png,dataset\masks\0552.png
364,train,dataset\dataset\lungs\0364.png,dataset\dataset\masks\0364.png
365,train,dataset\dataset\lungs\0365.png,dataset\dataset\masks\0365.png
366,train,dataset\dataset\lungs\0366.png,dataset\dataset\masks\0366.png
367,train,dataset\dataset\lungs\0367.png,dataset\dataset\masks\0367.png
368,train,dataset\dataset\lungs\0368.png,dataset\dataset\masks\0368.png
369,train,dataset\dataset\lungs\0369.png,dataset\dataset\masks\0369.png
370,train,dataset\dataset\lungs\0370.png,dataset\dataset\masks\0370.png
371,train,dataset\dataset\lungs\0371.png,dataset\dataset\masks\0371.png
372,train,dataset\dataset\lungs\0372.png,dataset\dataset\masks\0372.png
374,train,dataset\lungs\0063.png,dataset\masks\0063.png
375,train,dataset\dataset\lungs\0375.png,dataset\dataset\masks\0375.png
376,train,dataset\dataset\lungs\0376.png,dataset\dataset\masks\0376.png
377,train,dataset\dataset\lungs\0377.png,dataset\dataset\masks\0377.png
378,train,dataset\dataset\lungs\0378.png,dataset\dataset\masks\0378.png
379,train,dataset\dataset\lungs\0379.png,dataset\dataset\masks\0379.png
380,train,dataset\dataset\lungs\0380.png,dataset\dataset\masks\0380.png
381,train,dataset\dataset\lungs\0381.png,dataset\dataset\masks\0381.png
382,train,dataset\dataset\lungs\0382.png,dataset\dataset\masks\0382.png
383,train,dataset\dataset\lungs\0383.png,dataset\dataset\masks\0383.png
385,train,dataset\lungs\0473.png,dataset\masks\0473.png
386,train,dataset\dataset\lungs\0386.png,dataset\dataset\masks\0386.png
387,train,dataset\dataset\lungs\0387.png,dataset\dataset\masks\0387.png
388,train,dataset\dataset\lungs\0388.png,dataset\dataset\masks\0388.png
389,train,dataset\dataset\lungs\0389.png,dataset\dataset\masks\0389.png
390,train,dataset\dataset\lungs\0390.png,dataset\dataset\masks\0390.png
391,train,dataset\dataset\lungs\0391.png,dataset\dataset\masks\0391.png
392,train,dataset\dataset\lungs\0392.png,dataset\dataset\masks\0392.png
393,train,dataset\dataset\lungs\0393.png,dataset\dataset\masks\0393.png
394,train,dataset\dataset\lungs\0394.png,dataset\dataset\masks\0394.png
396,train,dataset\lungs\0240.png,dataset\masks\0240.png
397,train,dataset\dataset\lungs\0397.png,dataset\dataset\masks\0397.png
398,train,dataset\dataset\lungs\0398.png,dataset\dataset\masks\0398.png
399,train,dataset\dataset\lungs\0399.png,dataset\dataset\masks\0399.png
400,train,dataset\dataset\lungs\0400.png,dataset\dataset\masks\0400.png
401,train,dataset\dataset\lungs\0401.png,dataset\dataset\masks\0401.png
402,train,dataset\dataset\lungs\0402.png,dataset\dataset\masks\0402.png
403,train,dataset\dataset\lungs\0403.png,dataset\dataset\masks\0403.png
404,train,dataset\dataset\lungs\0404.png,dataset\dataset\masks\0404.png
405,train,dataset\dataset\lungs\0405.png,dataset\dataset\masks\0405.png
407,train,dataset\lungs\0468.png,dataset\masks\0468.png
408,train,dataset\dataset\lungs\0408.png,dataset\dataset\masks\0408.png
409,train,dataset\dataset\lungs\0409.png,dataset\dataset\masks\0409.png
410,train,dataset\dataset\lungs\0410.png,dataset\dataset\masks\0410.png
411,train,dataset\dataset\lungs\0411.png,dataset\dataset\masks\0411.png
412,train,dataset\dataset\lungs\0412.png,dataset\dataset\masks\0412.png
413,train,dataset\dataset\lungs\0413.png,dataset\dataset\masks\0413.png
414,train,dataset\dataset\lungs\0414.png,dataset\dataset\masks\0414.png
415,train,dataset\dataset\lungs\0415.png,dataset\dataset\masks\0415.png
416,train,dataset\dataset\lungs\0416.png,dataset\dataset\masks\0416.png
418,train,dataset\lungs\0403.png,dataset\masks\0403.png
419,train,dataset\dataset\lungs\0419.png,dataset\dataset\masks\0419.png
420,train,dataset\dataset\lungs\0420.png,dataset\dataset\masks\0420.png
421,train,dataset\dataset\lungs\0421.png,dataset\dataset\masks\0421.png
422,train,dataset\dataset\lungs\0422.png,dataset\dataset\masks\0422.png
423,train,dataset\dataset\lungs\0423.png,dataset\dataset\masks\0423.png
